PC1,PC2,PC3,PC4,PC5,PC6,PC7,Crash
-9.181413666911881,12.124892910555557,0.7817317025333302,1.4408780715535778,0.3560518104539958,-0.853642223340041,0.9647265670492894,0
-9.112084680107404,12.323939460573275,1.2915727035912432,1.4456196839324151,0.15270727062506256,-1.1169566128836446,0.8672021476493617,0
-9.285747354042682,11.93785728604511,1.5854368645726025,1.4002318316644162,0.11106436423666552,-1.3283558240477602,1.1071329987218497,0
-9.411032291058913,11.109319113755705,1.0837436275194487,1.652384901008163,0.1844427338853557,-1.5078332164226385,1.0709980363238356,0
-9.348454750370818,10.539884114813956,1.171962955488423,1.7926059325381816,0.007330897987189833,-1.5257591015877623,1.072981812293777,0
-9.243735565047066,10.056283801056683,0.9577223186942998,2.0426881312262823,-0.016310677651694902,-1.4452808121199132,1.0828318965195176,0
-8.975895666808453,10.381520109515522,1.160731435486788,2.079399482512019,-0.20107634543955677,-1.6881400236187396,1.3177845492127294,0
-9.127780353218302,10.681978739832513,1.4506103000424742,1.9548202434251936,-0.3176910423765584,-1.3019545803624584,1.373875448184395,0
-9.43511973511571,10.417245632202848,0.9103233750495868,1.7310203270046414,0.09978288922811318,-1.1253053744834738,1.4248290083243025,0
-9.288913357920402,10.812444261467663,1.2923628601305819,1.2379315111959868,0.1197134150430898,-1.2849778013601831,1.3726536399668052,0
-9.098802192747362,10.34002698156947,1.4992106257104698,1.3978771808149542,-0.0525686758001522,-0.6598349345667464,-1.696371097821443,0
-9.074122174708458,9.462344563608287,1.5642274995368144,1.8103250386816074,-0.1460675997966893,-0.7234539164750238,-1.737968611425,0
-8.876859129640637,8.537837078897999,1.447365225995724,1.6246644965777821,-0.17976450931586332,-0.6742705909095769,-1.7686495133949416,0
-9.095358587713807,6.567509175135013,0.28204432168145177,2.0263899635638345,-0.4269287804467325,-0.8498958555520495,-1.8226177238207222,1
-9.095750019229026,7.041071141280037,0.7890356295909223,1.5850063197082116,-0.5916407445465214,-0.5663588093382652,-1.7993873514525276,0
-8.845648257812103,6.716299867307708,0.6916155125192143,1.8514423594208373,-0.9731753340083185,-0.4970698809148105,-1.4904514297968556,0
-9.149585207152494,6.763159366413985,0.8749757553642994,1.4621642736045826,-0.9041531003479365,-0.7579079077204084,-1.5303707863785558,0
-9.33758612666675,7.277109908709603,1.3233708560118538,1.2431665835263446,-0.9247784992939373,-0.6934832181695672,-1.5155479686464914,0
-9.483447862382121,7.395650421708008,1.8254202396461499,1.1100640022264812,-1.1329146775998014,-0.8539679487403044,-1.5172742758053648,0
-9.337255144608488,6.193086792574846,1.741112931144405,1.7156259377287035,-1.2300371330157893,-0.8814345083201923,-1.2189087350290964,0
-9.541584938015019,6.104748051899204,1.9912836551987185,1.6078908775676253,-1.201508512539535,-1.1427063908635784,-1.225450575464094,0
-9.621382671796624,5.095163539458205,1.9523336961782412,1.7091344291918389,-1.469966286158824,-1.262183038421069,-1.2453992534946778,0
-9.506789553043314,5.76146600281922,1.4013915114688347,1.7457293837254197,-1.2156772849545656,-1.2336043948793416,-1.2593999047421474,0
-9.572856337204206,6.210240668673622,1.5618275617155652,1.437131702141542,-1.3136436176496453,-1.1445485373667355,-0.9135938943478328,0
-9.530710067314363,6.4470045943212835,1.972089514897288,1.3346130506696265,-1.2821884339009924,-1.137111410793769,-0.9417051184079007,0
-9.71431148330644,6.174048966808576,2.1143592742352832,1.3152828094298126,-1.2686339669001583,-1.2028530766534398,-0.9502059702169674,0
-10.058468809083582,7.207984923090547,2.560285486113051,1.3056762865926785,-1.1086174303650111,-1.1222256435207918,-0.9098290384466153,0
-10.033901868690522,7.731142394290516,2.1723346151651506,1.336811019512483,-1.1568695014278374,-0.9689590466323659,-0.8427992308189812,0
-10.039834446754048,8.08596642751147,2.7579264999002366,0.9425086682035959,-1.156387087674635,-0.9575574352501648,-0.5174744099276161,0
-10.173788307585676,8.210704124419266,2.8734468240364164,0.8862600262796302,-0.9164080581705041,-0.9486472942483455,-0.5369172375243308,0
-10.331037224125195,8.447943725966786,3.6277718223572872,1.309645831405156,-1.1534476706769357,-0.9827787192676813,-0.5006266164891032,0
-10.764973834056834,8.430599658254543,3.2532034687306965,1.3730632470369342,-0.9186093975336154,-0.8320101779487471,-0.5011449404694086,0
-10.829014455049448,8.493165116888381,3.0201744254414273,1.6242844893438984,-1.1121426606679565,-1.1740380256678138,-0.3149465670281051,0
-11.36874086000168,8.839282538843394,2.6366264707860863,1.6339405979069832,-0.5057055479891992,-1.1099818889510606,-0.32280877689418097,0
-11.461678691970153,8.715744058749575,2.810993385158626,1.2598952745747256,-0.4471503152076732,-0.9370070839247798,-0.3496437584962429,0
-11.460485289740285,8.128659237872059,2.576808606170843,1.2674554746039,-0.35568886022008045,-1.0398979284219112,-0.36471640227785,0
-11.59976053678152,7.548536040532374,2.7821090613529393,1.4748857453165933,-0.28791755784548523,-1.1503868599882336,-0.10514561954931909,0
-11.241667669211097,7.143387185175748,2.237922367493574,1.559205338144484,-0.30679192618994866,-1.228187412855775,-0.09254746879009138,0
-11.383773855822025,6.5282003675600055,2.32859708113736,1.9851986380898683,-0.3357223827450267,-1.0667226278412194,-0.09517588897906645,0
-11.373727410387739,7.35029935072552,2.0354925699524693,1.4367056618167082,-0.22081143029593125,-0.6147641722631974,0.06331835257628365,0
-11.020155913902537,7.001804214820906,1.444941288573203,1.4040747557700666,-0.2280224998967114,-0.585890256257375,0.09807135589443539,0
-10.71729164741416,6.816673314016271,1.0641770184424064,1.354333130944772,-0.3130903440585589,-0.5297092583493905,0.4175723545828056,0
-10.25943710362695,6.58847482745915,0.4215954294280652,1.264198593625398,-0.31431855185141455,-0.475772454382568,0.4031533045962897,0
-10.31426167757236,6.094086795149899,0.23492135007793252,1.3178601874152462,-0.24203079875648506,-0.46274525666726096,0.43917543864242353,0
-10.20121268430089,5.98335757936457,0.2831801034944669,1.2911592352431733,-0.26789756282310184,-0.5184195140091528,0.41961718465622116,0
-10.069576877714265,5.905568676265282,0.0887186485605855,1.5551638195566215,-0.29230764547962235,-0.2911027960537201,0.7131595712316425,0
-9.845516239849413,5.065060120170559,-0.9674385997805638,1.8521742720374659,-0.12887617368379564,-0.14272692307344814,0.728457856849127,0
-9.894986890892117,3.706098437822464,-1.7714688808111252,2.245846839185514,-0.5275622382609246,-0.13725358075372157,0.7231369432306917,1
-10.659783327352455,4.512376753197454,-1.1210742835028173,2.31147608091518,-0.07416480642129507,-0.2089001344398581,0.6273261866977223,1
