Date,Y,XAU BGNL,ECSURPUS,BDIY,CRY,DXY,JPY,GBP,Cl1,VIX,USGG30YR,GT10,USGG2YR,USGG3M,US0001M,GTDEM30Y,GTDEM10Y,GTDEM2Y,EONIA,GTITL30YR,GTITL10YR,GTITL2YR,GTJPY30YR,GTJPY10YR,GTJPY2YR,GTGBP30Y,GTGBP20Y,GTGBP2Y,EMUSTRUU,LF94TRUU,MXUS,MXEU,MXJP,MXBR,MXRU,MXIN,MXCN,Year,Month
2000-01-11,0.0,0.015180861943858814,0.5348600508905852,0.09537471744044514,0.14107457712503146,0.6028128931141861,0.5097972397341968,0.5191675794085431,0.12034208918753816,0.19660048134777378,0.9863896848137537,0.9854166666666666,0.9343651603175307,0.8468691878487291,0.8508301787789063,0.9802230483271377,0.9840012426219322,0.8478818998716303,0.543994861913937,0.8071638861629048,0.7861729132447367,0.662786029706945,0.7701822916666667,0.8853474988933157,0.48707197763801535,0.8807420494699647,0.9006901195085002,0.9868659888139544,0.0,0.008764292448323663,0.22261242603550294,0.7930957930957931,0.7175523514835597,0.12976315398368785,0.04983667373618206,0.06473784079460539,0.18005875237601524,2000,1
2000-01-18,0.0,0.017694817252589645,0.517557251908397,0.0968527212658668,0.1625262610130177,0.6296219917098018,0.5031521553927416,0.5104052573932092,0.14386072083078802,0.18155836341756923,1.0,1.0,0.9398347302910698,0.8394296342219467,0.8541284059817849,1.0,1.0,0.8486842105263158,0.5664739884393063,0.8297350343473994,0.8028968194714053,0.6681386324100094,0.7688802083333334,0.9101372288623284,0.48916841369671554,0.9273409893992934,0.943822588789766,1.0,0.0008050568938442748,0.008764292448323663,0.2263609467455621,0.8125208125208128,0.7219048108156688,0.14517908693361198,0.056683419826921905,0.07075795316179516,0.16658026611370316,2000,1
2000-01-25,0.0,0.017409140512961135,0.5643765903307888,0.0936358894105373,0.16869881005433507,0.6409643026541005,0.5128642017379452,0.5235487404162102,0.13950824679291388,0.2044223826714802,0.9797636103151863,0.9910256410256411,0.934956465179535,0.8679479231246126,0.8565271166747873,0.9689219330855019,0.9799627213420317,0.8405006418485237,0.5857418111753371,0.8006215243702975,0.7836344631924744,0.6649270707881707,0.7171223958333333,0.8481629039397964,0.45003494060097826,0.9151943462897525,0.9280424171014983,0.9864232693357731,0.0017644952861551044,0.008764292448323663,0.2136804733727811,0.7789987789987791,0.6973179092788272,0.1365568831262413,0.044715253104562896,0.07441699476485096,0.1641610506307241,2000,1
2000-02-01,0.0,0.014895185204230305,0.5928753180661578,0.08868022952529994,0.16761930596190733,0.6927264853271742,0.5437042085534163,0.4808324205914567,0.13905009163103235,0.21089049338146812,0.9419770773638969,0.979326923076923,0.955947787780685,0.8905765654060757,0.8664217982834227,0.9539033457249071,0.9712643678160919,0.8494865211810012,0.6098265895953756,0.785410533202486,0.7761684336269974,0.6688077077478924,0.740234375,0.9123505976095618,0.4996505939902166,0.8935512367491165,0.9057397744487461,0.9784543187285095,0.0013401829468113469,0.003594405417926272,0.2134970414201183,0.8090798090798093,0.7387754053949954,0.12657458240070618,0.034533787055285425,0.07718599922121751,0.15405218593398998,2000,2
2000-02-08,1.0,0.023836867154602537,0.6544529262086514,0.08572422187445662,0.16368880388178603,0.678290816852612,0.5684102913613904,0.4808324205914567,0.13752290775809406,0.1777978339350181,0.907593123209169,0.9783653846153846,0.9713217141927949,0.8857718536887785,0.8673213147932987,0.9399256505576208,0.9748369058713886,0.8597560975609756,0.6034039820166986,0.7739614000654237,0.778856204270569,0.6819215843704001,0.7893880208333333,0.9783089862771138,0.4961565338923829,0.8836130742049471,0.9002693149301464,0.9791921845254785,0.006899811143123991,0.003594405417926272,0.2213786982248521,0.86990786990787,0.7740316098963883,0.1496669564003369,0.045519950354271366,0.08988139018857662,0.15431138759288063,2000,2
2000-02-15,1.0,0.02697931129051609,0.6946564885496183,0.0958094244479221,0.17517583460890124,0.6879833371141035,0.5586982450161868,0.46549835706462206,0.15310018326206473,0.20291817087845973,0.9102793696275073,0.9685897435897435,0.963930403417742,0.8955362678239306,0.8656722011918594,0.947360594795539,0.9872631251941597,0.8644094993581515,0.6017983301220294,0.7826300294406282,0.7916977751231897,0.683661180248896,0.7333984375,0.9260734838424082,0.4779874213836478,0.9054770318021201,0.9219407507153679,0.9650251612236765,0.009081988888320652,0.003594405417926272,0.20881065088757397,0.8247308247308247,0.7397254997624764,0.13624838432195566,0.036375043474109886,0.10901718884239546,0.12268878520822535,2000,2
2000-02-22,1.0,0.02789347685732732,0.7486005089058524,0.10346026777951661,0.17318290397672703,0.6589057763296282,0.596012949395127,0.48740416210295723,0.14974037874160048,0.2471419975932612,0.8816260744985673,0.9379807692307691,0.9525477848241607,0.8992560446373218,0.8656722011918594,0.922825278810409,0.9644299471885678,0.866816431322208,0.5937700706486833,0.757769054628721,0.7700462893833061,0.6832597350461661,0.7408854166666666,0.952191235059761,0.4577218728162124,0.86660777385159,0.8855411546877632,0.9626639906733763,0.00910850840952962,0.003594405417926272,0.19297041420118347,0.8275058275058276,0.7134309961867834,0.1319474155906739,0.03743206104787947,0.1252294627018808,0.12519440124416797,2000,2
2000-02-29,1.0,0.020922964410391792,0.7486005089058524,0.1078073378542862,0.1768919693199401,0.7133488688622631,0.5798262054864542,0.44687842278203727,0.1559254734270006,0.20968712394705177,0.8912965616045845,0.9456730769230768,0.948112998359129,0.9018908865468072,0.8706195419961772,0.9423048327137546,0.977632805219012,0.8676187419768935,0.6162491971740526,0.7785410533202487,0.7851276691055697,0.6854007761273919,0.7438151041666667,0.9451084550686145,0.5094339622641509,0.8822879858657242,0.8992173034842619,0.9700426486430648,0.01191294777738,0.002419103345464857,0.198103550295858,0.8814518814518817,0.7484946139920655,0.13375112027850464,0.032719808509332426,0.10043821967847409,0.11007430447554864,2000,2
2000-03-07,0.0,0.020180204887357667,0.7419847328244275,0.11398017736045904,0.20385189203851894,0.7152048833804214,0.5138865224058613,0.4424972617743703,0.18417837507635923,0.2238267148014441,0.8921919770773639,0.9399038461538463,0.942939080816592,0.9101053936763793,0.8761665604737454,0.9341263940520446,0.9670705187946567,0.8724326059050065,0.6066152858060371,0.7710173372587503,0.7754218306704497,0.6879432624113475,0.689453125,0.9220894200973883,0.5408805031446541,0.8352473498233215,0.8571368456488807,0.9535144547909625,0.015149276490633884,0.002419103345464857,0.19415976331360948,0.9496059496059497,0.72285490518315,0.1437311691879501,0.05655384993078241,0.10577844255860956,0.11301192327630899,2000,3
2000-03-14,0.0,0.018808956537140847,0.7440203562340967,0.11771865762476091,0.19203270620604135,0.6985007527169993,0.4924177883796219,0.4414019715224533,0.16554673182651192,0.22533092659446455,0.8823424068767909,0.926923076923077,0.940278208937573,0.9181649101053937,0.8842622090626289,0.9256505576208178,0.955731593662628,0.8774069319640565,0.6451509312780987,0.76153091265947,0.7651187098700913,0.6876756322761943,0.7268880208333334,0.9318282425852148,0.5457721872816212,0.8542402826855123,0.8754418448072716,0.9580892227321693,0.01622805272838518,0.002419103345464857,0.19548520710059172,0.9135309135309135,0.6565152079294362,0.13234823885463629,0.07639850244477933,0.08700113108887393,0.12001036806635565,2000,3
